OTU,Sample,Abundance,Label,Sample_type,Type,Sequencing_Run,Mouse,Genotype,Sex,Diet,Intranasal_Treatment,Surgery,Week
Eggerthellaceae,SRR29055056,0.00845477806207587,336,Fecal,True Sample,2,JI-755,KO,Female,Normal_Chow,HDM,None,0
Clostridiaceae,SRR29055113,0.00844811753902663,201,Fecal,True Sample,2,JI-744,WT,Male,Normal_Chow,PBS,None,10
Saccharimonadaceae,SRR29055184,0.008438458915785884,269,Fecal,True Sample,2,JI-731,KO,Male,High_Fat_Diet,PBS,None,13
Marinifilaceae,SRR29055063,0.008435507601765571,327,Fecal,True Sample,2,JI-756,KO,Female,Normal_Chow,HDM,None,10
Bifidobacteriaceae,SRR29055131,0.00843494237514615,59,Fecal,True Sample,2,JI-667,KO,Female,High_Fat_Diet,PBS,None,10
Helicobacteraceae,SRR29055066,0.00839620345582867,325,Fecal,True Sample,2,JI-745,KO,Female,High_Fat_Diet,PBS,Sham,13
Ruminococcaceae,SRR29055143,0.008370732691240987,24,Fecal,True Sample,2,JI-657,KO,Male,Normal_Chow,HDM,None,10
Atopobiaceae,SRR29055166,0.008369497830130192,287,Fecal,True Sample,2,JI-732,KO,Male,High_Fat_Diet,PBS,VSG,0
Ruminococcaceae,SRR29054995,0.008356545961002786,301,Fecal,True Sample,2,JI-748,KO,Male,Normal_Chow,HDM,None,0
Helicobacteraceae,SRR29055189,0.008344923504867872,263,Fecal,True Sample,2,JI-762,WT,Female,High_Fat_Diet,HDM,Sham,0
Oscillospiraceae,SRR29055094,0.008341431810819566,232,Fecal,True Sample,2,JI-724,WT,Female,Normal_Chow,PBS,None,10
Desulfovibrionaceae,SRR29055063,0.008337420304070623,327,Fecal,True Sample,2,JI-756,KO,Female,Normal_Chow,HDM,None,10
Eggerthellaceae,SRR29055005,0.008316008316008316,292,Fecal,True Sample,2,JI-751,KO,Male,Normal_Chow,PBS,None,13
Marinifilaceae,SRR29055029,0.00830763960260363,35,Fecal,True Sample,2,JI-681,WT,Female,High_Fat_Diet,HDM,VSG,13
Akkermansiaceae,SRR29055107,0.008304940374787052,207,Fecal,True Sample,2,JI-726,WT,Female,Normal_Chow,PBS,None,10
Oscillospiraceae,SRR29055164,0.00828695862569562,289,Fecal,True Sample,2,JI-729,WT,Male,High_Fat_Diet,PBS,Sham,0
Clostridiaceae,SRR29055186,0.008267370272647317,267,Fecal,True Sample,2,JI-731,KO,Male,High_Fat_Diet,PBS,None,10
Akkermansiaceae,SRR29055113,0.008264462809917356,201,Fecal,True Sample,2,JI-744,WT,Male,Normal_Chow,PBS,None,10
Marinifilaceae,SRR29055117,0.008258024306637583,8,Fecal,True Sample,2,JI-653,KO,Female,High_Fat_Diet,HDM,None,10
Peptococcaceae,SRR29054915,0.00825619214410808,214,Fecal,True Sample,2,JI-759,WT,Female,High_Fat_Diet,PBS,Sham,13
Eggerthellaceae,SRR29055191,0.008224617129892229,262,Fecal,True Sample,2,JI-723,KO,Female,High_Fat_Diet,HDM,None,0
Ruminococcaceae,SRR29055015,0.008169381737322956,48,Fecal,True Sample,2,JI-680,WT,Female,High_Fat_Diet,HDM,None,13
Eggerthellaceae,SRR29055088,0.008159819921215531,12,Fecal,True Sample,2,JI-671,KO,Female,High_Fat_Diet,HDM,VSG,13
Deferribacteraceae,SRR29055033,0.008154863227900716,4,Fecal,True Sample,2,JI-651,KO,Male,High_Fat_Diet,PBS,None,10
Bacteroidaceae,SRR29055069,0.008150142066696576,321,Fecal,True Sample,2,JI-746,KO,Male,High_Fat_Diet,PBS,Sham,13
Clostridiaceae,SRR29055124,0.0081265237231981,65,Fecal,True Sample,2,JI-671,KO,Female,High_Fat_Diet,HDM,VSG,10
Ruminococcaceae,SRR29055056,0.008121036822783402,336,Fecal,True Sample,2,JI-755,KO,Female,Normal_Chow,HDM,None,0
Clostridiaceae,SRR29054991,0.008110599078341014,305,Fecal,True Sample,2,JI-748,KO,Male,Normal_Chow,HDM,None,13
Sutterellaceae,SRR29055103,0.008098727342846125,210,Fecal,True Sample,2,JI-727,WT,Female,Normal_Chow,HDM,None,13
Ruminococcaceae,SRR29055080,0.008097518502394428,246,Fecal,True Sample,2,JI-735,KO,Female,High_Fat_Diet,HDM,Sham,0
